feature,importance_mean,importance_std
EXT_SOURCE_MEAN,456790.5012042999,7489.329468018
EXT_SOURCE_3,42189.12092971802,2747.547102184328
CREDIT_TERM,36464.873909759524,4354.814130769903
CREDIT_GOODS_RATIO,35775.69929351807,832.6608168202414
PAYMENT_RATE,32559.01422767639,3658.0132689929637
PREV_CNT_PAYMENT_MEAN,28324.926119613647,2425.5009213542803
EXT_SOURCE_PROD,25088.769655609132,2028.6947077639795
AMT_ANNUITY,24098.274492645265,2532.4083216193067
EXT_SOURCE_2,23882.47277908325,3911.9473185409556
NAME_EDUCATION_TYPE,21040.418005752563,1568.0468848814892
INST_DAYS_PAYMENT_DELAY_MAX,20188.744464492796,3776.2767919519033
INST_AMT_INSTALMENT_MIN,19232.665128707886,2030.872019958629
EXT_SOURCE_1,19205.495724487304,1642.7216485185909
DAYS_BIRTH,18791.012673568726,3375.062096872462
CODE_GENDER,18433.666744232178,881.7556984435762
DAYS_EMPLOYED,17348.61240501404,2070.9966020071147
INST_AMT_PAYMENT_SUM,17233.443960952758,2038.7926669638714
DAYS_EMPLOYED_PERCENT,17042.33227005005,2277.714855649072
AGE_YEARS,16683.000287628172,1527.1448120708103
DAYS_ID_PUBLISH,16322.562252044678,2279.3634742580643
INST_PAYMENT_RATIO_MEAN,16021.164711380005,2319.755698287266
PREV_AMT_DOWN_PAYMENT_MAX,15645.899698638916,1251.4623607271262
AMT_GOODS_PRICE,15509.927895355224,1107.760308438019
BUREAU_DAYS_CREDIT_MAX,15104.211473464966,1726.5097941596418
INST_AMT_PAYMENT_MIN,14625.039589309692,2469.5855557459727
BUREAU_DAYS_CREDIT_ENDDATE_MAX,14430.733380508424,1378.248782413765
ANNUITY_INCOME_RATIO,13748.067748641968,2017.7497990134218
INST_DAYS_ENTRY_PAYMENT_MIN,13303.926168823242,1007.3712479824435
INST_DAYS_PAYMENT_DELAY_MEAN,12970.14352607727,1631.7382658754393
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,12389.591269302367,1572.3652399233836
INST_PAYMENT_DIFF_MEAN,12029.124183273316,761.2069252372136
BUREAU_CLOSED_DAYS_CREDIT_MAX,11908.521877670288,2035.3705238676453
AMT_CREDIT,11823.249146652222,2634.6262061086277
INST_SK_ID_PREV_COUNT,11558.849063110352,1251.7643943895455
INST_DAYS_INSTALMENT_MIN,11172.538823318482,1253.0961027167368
BUREAU_DAYS_CREDIT_MEAN,10885.599607086182,1964.4130363819088
BUREAU_AMT_CREDIT_SUM_MEAN,10595.377762603759,1620.3237720497718
INST_DAYS_ENTRY_PAYMENT_MAX,10567.341347503661,1187.3770385426049
DAYS_LAST_PHONE_CHANGE,10472.283136367798,1645.9767175995084
OWN_CAR_AGE,10321.488939666748,1070.3744648192242
DAYS_REGISTRATION,10261.391048812866,1787.7838541177225
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,10196.365697479248,1082.2406374242091
BUREAU_AMT_CREDIT_SUM_MAX,10163.19504623413,1225.1877448567334
CREDIT_INCOME_RATIO,9258.871450805664,1626.5290889818928
PREV_RATE_DOWN_PAYMENT_MAX,9152.159558868409,2032.8679493530935
BUREAU_AMT_CREDIT_SUM_SUM,8869.508535766601,2400.9711782153763
INST_DAYS_ENTRY_PAYMENT_MEAN,8835.809269714355,2282.9039613091795
REGION_POPULATION_RELATIVE,8713.549072265625,1944.7384314599822
INST_AMT_INSTALMENT_MAX,8682.25030822754,1236.8561038490247
PREV_DAYS_DECISION_MEAN,8407.603303527832,1583.0413459075362
BUREAU_DAYS_CREDIT_ENDDATE_MEAN,8369.357683181763,1798.5138719598297
PREV_AMT_ANNUITY_MEAN,8256.967324829102,1551.4345447606706
EXT_SOURCE_STD,8103.03150138855,1703.5825912499874
INST_DAYS_INSTALMENT_MAX,7842.876199340821,2267.666179304802
PREV_APPROVED_CREDIT,7523.101516342163,1364.9173778857094
PREV_CNT_PAYMENT_SUM,7154.925158691406,1349.5543778153208
PREV_DAYS_DECISION_MIN,7146.222138595581,2227.6591925221837
PREV_REFUSED_COUNT,7141.247792053223,739.8500864328199
PREV_AMT_ANNUITY_MIN,7115.2138187408445,1889.5136903828304
PREV_DAYS_DECISION_MAX,7113.661432647705,2413.4215721384876
DOCUMENT_COUNT,7105.600885772705,650.5186257606133
EMPLOYMENT_YEARS,7002.597454833985,1696.5819310165791
BUREAU_DAYS_CREDIT_MIN,6855.231184768677,803.673667135248
BUREAU_DAYS_CREDIT_UPDATE_MAX,6838.910911560059,1482.4213029195566
INST_AMT_INSTALMENT_SUM,6774.313295745849,846.566087566963
PREV_AMT_ANNUITY_MAX,6722.924452590943,1256.7498580370736
BUREAU_DAYS_CREDIT_UPDATE_MEAN,6640.910536956787,985.0296069243029
BUREAU_DAYS_CREDIT_UPDATE_MIN,6621.714530944824,864.3511938136921
INST_DAYS_PAYMENT_DELAY_MIN,6507.714845657349,1764.3007276844337
PREV_HOUR_APPR_PROCESS_START_MEAN,6492.686375427246,1374.9726550580967
INST_NUM_INSTALMENT_NUMBER_MAX,6430.992863845825,1586.5784023837734
INST_AMT_PAYMENT_MAX,6377.731442260742,1494.0384971780518
INST_NUM_INSTALMENT_NUMBER_MEAN,6331.557553863526,1407.0927036027356
FLAG_OWN_CAR,6329.776173019409,1087.7465905456297
BUREAU_ACTIVE_DEBT,6322.255339050293,1344.9127434583054
INST_PAYMENT_DIFF_SUM,6135.245250701904,1216.0549201736735
NAME_FAMILY_STATUS,5951.002723693848,398.79319409735575
INST_DAYS_INSTALMENT_MEAN,5834.7203567504885,973.6860016117728
BUREAU_DAYS_CREDIT_ENDDATE_MIN,5788.511944580078,967.3282263448277
BUREAU_ACTIVE_COUNT,5767.337641525269,755.3899886924302
INCOME_PER_PERSON,5729.0168392181395,1381.2566332376814
INST_AMT_PAYMENT_MEAN,5720.548097610474,806.9556164505658
ORGANIZATION_TYPE,5693.4652847290035,439.4395760434867
PREV_AMT_DOWN_PAYMENT_MEAN,5625.001916503907,1176.6286844622773
PREV_AMT_GOODS_PRICE_MIN,5403.831312561035,1205.569390115079
INST_PAYMENT_DIFF_MIN,5208.176253128052,1104.0370770182635
PREV_AMT_CREDIT_MAX,5102.195090484619,750.4888879783797
NAME_INCOME_TYPE,5001.016075134277,339.8412065893871
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,4746.609465789795,1251.8444259935743
FLAG_DOCUMENT_3,4631.203006744385,1387.8347626112493
OCCUPATION_TYPE,4440.679278564453,1037.956277242157
PREV_RATE_DOWN_PAYMENT_MEAN,4262.17989692688,1087.4405430899521
AMT_INCOME_TOTAL,4245.035287475586,1269.9186508717603
PREV_AMT_APPLICATION_MEAN,4188.145497131348,1606.6645243602568
INCOME_PER_CHILD,4163.434652709961,1014.7032971651183
PREV_AMT_CREDIT_MEAN,3976.7869819641114,1564.1138669460438
BUREAU_CLOSED_COUNT,3916.9254734039305,920.7199561671288
DEF_30_CNT_SOCIAL_CIRCLE,3694.475608062744,335.5823242719868
REGION_RATING_CLIENT_W_CITY,3669.761823272705,557.5479035122572
INST_AMT_INSTALMENT_MEAN,3629.2738010406492,749.938629993502
PREV_APPROVED_COUNT,3546.843543243408,1096.0689307798477
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,3523.7233375549317,809.4978413321311
INST_PAYMENT_RATIO_MIN,3475.8538505554197,1084.8209884556445
TOTALAREA_MODE,3438.5704483032227,1254.6012438601056
PREV_AMT_GOODS_PRICE_MEAN,3394.1153034210206,539.5510934091401
PREV_AMT_APPLICATION_MAX,3312.9325057983397,658.2941881806959
AMT_REQ_CREDIT_BUREAU_QRT,3190.8442626953124,664.6265629270911
PREV_AMT_CREDIT_MIN,3143.1029365539553,1453.4983433062969
YEARS_BEGINEXPLUATATION_MODE,2981.2719181060793,623.940714316977
PREV_HOUR_APPR_PROCESS_START_MAX,2954.0212944030764,1526.2654786534952
HOUR_APPR_PROCESS_START,2909.7940647125242,1110.7283976247159
